TID: [2026-01-28 18:20:24,050]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2026-01-28 18:20:31,280]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2026-01-28 18:20:31,281]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Windows 11 10.0, amd64
TID: [] [] [2026-01-28 18:20:31,281]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : C:\Program Files\Java\jdk-21.0.10
TID: [] [] [2026-01-28 18:20:31,281]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 21.0.10
TID: [] [] [2026-01-28 18:20:31,281]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : Java HotSpot(TM) 64-Bit Server VM 21.0.10+8-LTS-217,Oracle Corporation
TID: [] [] [2026-01-28 18:20:31,281]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\bin\..
TID: [] [] [2026-01-28 18:20:31,281]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\bin\..\tmp
TID: [] [] [2026-01-28 18:20:31,281]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : vidal, fr-FR, Atlantic/Reykjavik
TID: [] [] [2026-01-28 18:20:31,523]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [] [] [2026-01-28 18:20:31,821]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2026-01-28 18:20:34,467]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [] [] [2026-01-28 18:20:35,272]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
TID: [] [] [2026-01-28 18:20:36,389]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [] [] [2026-01-28 18:20:36,632]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiverServiceComponent} - Binary Data Receiver server activated
TID: [] [] [2026-01-28 18:20:36,647]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} - Successfully deployed Agent Server 
TID: [] [] [2026-01-28 18:20:37,328]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 180ms
TID: [] [] [2026-01-28 18:20:37,454]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 6ms
TID: [] [] [2026-01-28 18:20:37,454]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 6ms
TID: [] [] [2026-01-28 18:20:37,656]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 2ms
TID: [] [] [2026-01-28 18:20:37,656]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 3ms
TID: [] [] [2026-01-28 18:20:38,448]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [] [] [2026-01-28 18:20:39,658]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} - Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics'
TID: [] [] [2026-01-28 18:20:39,667]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} - Started JMX reporter for Metrics
TID: [] [] [2026-01-28 18:20:47,343]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [] [] [2026-01-28 18:20:47,655]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [] [] [2026-01-28 18:20:49,966]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2026-01-28 18:20:49,967]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2026-01-28 18:20:50,197]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WSS Sender started
TID: [] [] [2026-01-28 18:20:50,223]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Initializing Pass-through HTTP/S Sender...
TID: [] [] [2026-01-28 18:20:50,272]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Pass-through HTTP Sender started...
TID: [] [] [2026-01-28 18:20:50,272]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Initializing Pass-through HTTP/S Sender...
TID: [] [] [2026-01-28 18:20:50,282]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - customSSLProfiles configuration is loaded from path: C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\repository/resources/security/sslprofiles.xml
TID: [] [] [2026-01-28 18:20:50,283]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Loading custom SSL profiles for the HTTPS sender
TID: [] [] [2026-01-28 18:20:50,289]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Custom SSL profiles initialized for 1 mappings
TID: [] [] [2026-01-28 18:20:50,293]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Pass-through HTTPS Sender started...
TID: [] [] [2026-01-28 18:20:50,296]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WS Sender started
TID: [] [] [2026-01-28 18:20:50,339]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpListener} - Initializing Pass-through HTTP/S Listener...
TID: [] [] [2026-01-28 18:20:50,360]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpMultiSSLListener} - Initializing Pass-through HTTP/S Listener...
TID: [] [] [2026-01-28 18:20:50,365]  INFO {org.apache.synapse.transport.nhttp.config.ServerConnFactoryBuilder} - SSLProfile configuration is loaded from path: C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\repository/resources/security/listenerprofiles.xml
TID: [] [] [2026-01-28 18:20:50,573]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AdminAdvisoryManagementService {super-tenant}
TID: [] [] [2026-01-28 18:20:51,126]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: I18nEmailMgtConfigService {super-tenant}
TID: [] [] [2026-01-28 18:20:52,284]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AccountCredentialMgtConfigService {super-tenant}
TID: [] [] [2026-01-28 18:20:52,284]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserIdentityManagementAdminService {super-tenant}
TID: [] [] [2026-01-28 18:20:52,284]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserInformationRecoveryService {super-tenant}
TID: [] [] [2026-01-28 18:20:52,836]  WARN {org.apache.axis2.description.java2wsdl.DefaultSchemaGenerator} - We don't support method overloading. Ignoring [addRemoteServerConfig]
TID: [] [] [2026-01-28 18:20:52,836]  WARN {org.apache.axis2.description.java2wsdl.DefaultSchemaGenerator} - We don't support method overloading. Ignoring [resetRemoteServerConfig]
TID: [] [] [2026-01-28 18:20:53,507]  WARN {org.apache.axis2.description.java2wsdl.DefaultSchemaGenerator} - We don't support method overloading. Ignoring [searchByAttribute]
TID: [] [] [2026-01-28 18:20:54,661]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\bin\../repository/deployment/server/
TID: [] [] [2026-01-28 18:20:54,668]  INFO {org.wso2.carbon.event.input.adapter.kafka.internal.ds.KafkaEventAdapterServiceHolder} - Kafka input event adaptor waiting for dependent configurations to load
TID: [] [] [2026-01-28 18:20:54,682]  INFO {org.wso2.carbon.andes.core.internal.ds.QueueManagerServiceDS} - Successfully created the queue manager service
TID: [] [] [2026-01-28 18:20:54,686]  INFO {org.wso2.carbon.andes.core.internal.ds.SubscriptionManagerServiceDS} - Successfully created the subscription manager service
TID: [] [] [2026-01-28 18:20:54,739]  INFO {org.wso2.carbon.apimgt.persistence.internal.PersistenceManagerComponent} - Activating PersistenceManagerComponent 
TID: [] [] [2026-01-28 18:20:54,774]  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [] [] [2026-01-28 18:20:54,792]  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [] [] [2026-01-28 18:20:56,092]  INFO {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder} - XACML policy schema loaded successfully.
TID: [] [] [2026-01-28 18:20:56,166]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm
TID: [] [] [2026-01-28 18:20:56,170]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.jdbc.UniqueIDJDBCUserStoreManager
TID: [] [] [2026-01-28 18:20:56,257]  WARN {org.wso2.carbon.identity.application.mgt.internal.ApplicationManagementServiceComponent} - Templates directory not found at C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\bin\..\repository\resources\identity\authntemplates
TID: [] [] [2026-01-28 18:20:56,561]  WARN {org.wso2.carbon.identity.auth.valve.internal.AuthenticationValveServiceComponent} - File invalid_tenant_domain_response.html not found. The default content will be used as the error page content.
TID: [] [] [2026-01-28 18:20:56,640]  WARN {org.wso2.carbon.identity.auth.service.internal.AuthenticationServiceComponent} - 

##################################  ALERT  ##################################
[WARNING]: Internal authentication is utilizing default credentials,
which may expose the environment to potential security risks.
If this is a production environment, change the credentials immediately.
Please refer to the WSO2 security advisory: https://security.docs.wso2.com/en/latest/security-announcements/security-advisories/2023/WSO2-2023-2617/
#############################################################################

TID: [] [] [2026-01-28 18:20:56,663]  INFO {org.wso2.carbon.identity.organization.management.tenant.association.internal.TenantAssociationServiceComponent} - Organization management related TenantAssociationManagementListener registered successfully.
TID: [] [] [2026-01-28 18:20:58,137]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addHeader_v3 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,143]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addLogMessage_v2 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,155]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addQueryParam_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,161]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy apkAddHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,167]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy apkCallInterceptorService_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,172]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy apkLuaInterceptorService_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,178]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy apkMirrorRequest_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,184]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy apkRedirectRequest_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,188]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy apkRemoveHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,195]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy apkWASMInterceptorService_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,201]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy applyAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,214]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy AWSBedrockGuardrail_v1.1 was added to the organization carbon.super successfully
